county,year,homestead_parcels,homestead_just_value_total,homestead_assessed_value_total,soh_differential_total,avg_soh_differential_per_homestead,avg_total_millage,est_avg_annual_tax_saved,source,source_url,note
Alachua,2022,,,,3547712823,,20.7765,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2022 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2022: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2022DataBookFiles/millage_taxes_levied.xlsx,"2022 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Alachua,2023,,,,4348272813,,21.0544,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2023 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2023: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2023DataBookFiles/millage_taxes_levied.xlsx,"2023 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Alachua,2024,,,,5301528966,,20.8095,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2024 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2024: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2024DataBookFiles/millage_taxes_levied.xlsx,"2024 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Alachua,2025,,,,5975742685,,20.8894,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2025 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2025: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2025DataBookFiles/millage_taxes_levied.xlsx,"2025 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Alachua,2026,54802,16701417052,11837663039,4903509691,88751,,1854,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2026 (2026 preliminary roll) | FDOR NAL roll file 'Alachua 11 Preliminary NAL 2026.zip' (Preliminary 2026 roll): parcels with JV_HMSTD > 0; sums of JV_HMSTD and AV_HMSTD | FDOR Data Book 2025: millage_taxes_levied.xlsx 'Total Millage Rate' (used for the 2026 estimate)",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Tax%20Roll%20Data%20Files/NAL/2026P/Alachua%2011%20Preliminary%20NAL%202026.zip | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2025DataBookFiles/millage_taxes_levied.xlsx,"2026 preliminary roll. Homestead parcels = NAL parcels with JV_HMSTD > 0. avg_soh_differential_per_homestead = (homestead_just_value_total minus homestead_assessed_value_total) / homestead_parcels, all from the NAL; the NAL differential (4,863,754,013) is -0.8% versus the Data Book soh_differential_total. avg_total_millage left blank: 2026 levies are not yet published by DOR. ESTIMATE: est_avg_annual_tax_saved = avg_soh_differential_per_homestead x 2025 DOR Total Millage Rate (20.8894) / 1000."
Baker,2022,,,,472696842,,14.9565,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2022 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2022: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2022DataBookFiles/millage_taxes_levied.xlsx,"2022 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Baker,2023,,,,533245063,,14.8021,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2023 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2023: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2023DataBookFiles/millage_taxes_levied.xlsx,"2023 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Baker,2024,,,,565817062,,14.6367,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2024 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2024: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2024DataBookFiles/millage_taxes_levied.xlsx,"2024 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Baker,2025,,,,611281134,,14.6131,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2025 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2025: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2025DataBookFiles/millage_taxes_levied.xlsx,"2025 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Baker,2026,6869,1732624859,1172219894,567035468,81585,,1192,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2026 (2026 preliminary roll) | FDOR NAL roll file 'Baker 12 Preliminary NAL 2026.zip' (Preliminary 2026 roll): parcels with JV_HMSTD > 0; sums of JV_HMSTD and AV_HMSTD | FDOR Data Book 2025: millage_taxes_levied.xlsx 'Total Millage Rate' (used for the 2026 estimate)",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Tax%20Roll%20Data%20Files/NAL/2026P/Baker%2012%20Preliminary%20NAL%202026.zip | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2025DataBookFiles/millage_taxes_levied.xlsx,"2026 preliminary roll. Homestead parcels = NAL parcels with JV_HMSTD > 0. avg_soh_differential_per_homestead = (homestead_just_value_total minus homestead_assessed_value_total) / homestead_parcels, all from the NAL; the NAL differential (560,404,965) is -1.2% versus the Data Book soh_differential_total. avg_total_millage left blank: 2026 levies are not yet published by DOR. ESTIMATE: est_avg_annual_tax_saved = avg_soh_differential_per_homestead x 2025 DOR Total Millage Rate (14.6131) / 1000."
Bay,2022,,,,1550229281,,11.8808,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2022 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2022: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2022DataBookFiles/millage_taxes_levied.xlsx,"2022 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Bay,2023,,,,2511828476,,12.8562,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2023 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2023: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2023DataBookFiles/millage_taxes_levied.xlsx,"2023 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Bay,2024,,,,2754808801,,12.6726,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2024 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2024: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2024DataBookFiles/millage_taxes_levied.xlsx,"2024 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Bay,2025,,,,2936369044,,12.6966,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2025 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2025: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2025DataBookFiles/millage_taxes_levied.xlsx,"2025 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Bay,2026,45901,13715062605,10901308201,2838229668,61301,,778,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2026 (2026 preliminary roll) | FDOR NAL roll file 'Bay 13 Preliminary NAL 2026.zip' (Preliminary 2026 roll): parcels with JV_HMSTD > 0; sums of JV_HMSTD and AV_HMSTD | FDOR Data Book 2025: millage_taxes_levied.xlsx 'Total Millage Rate' (used for the 2026 estimate)",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Tax%20Roll%20Data%20Files/NAL/2026P/Bay%2013%20Preliminary%20NAL%202026.zip | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2025DataBookFiles/millage_taxes_levied.xlsx,"2026 preliminary roll. Homestead parcels = NAL parcels with JV_HMSTD > 0. avg_soh_differential_per_homestead = (homestead_just_value_total minus homestead_assessed_value_total) / homestead_parcels, all from the NAL; the NAL differential (2,813,754,404) is -0.9% versus the Data Book soh_differential_total. avg_total_millage left blank: 2026 levies are not yet published by DOR. ESTIMATE: est_avg_annual_tax_saved = avg_soh_differential_per_homestead x 2025 DOR Total Millage Rate (12.6966) / 1000."
Bradford,2022,,,,191316545,,16.8316,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2022 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2022: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2022DataBookFiles/millage_taxes_levied.xlsx,"2022 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Bradford,2023,,,,327653706,,16.7643,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2023 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2023: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2023DataBookFiles/millage_taxes_levied.xlsx,"2023 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Bradford,2024,,,,400955502,,16.5906,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2024 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2024: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2024DataBookFiles/millage_taxes_levied.xlsx,"2024 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Bradford,2025,,,,456119136,,16.5732,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2025 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2025: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2025DataBookFiles/millage_taxes_levied.xlsx,"2025 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
Bradford,2026,7071,1406562394,958680596,452214971,63341,,1050,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2026 (2026 preliminary roll) | FDOR NAL roll file 'Bradford 14 Preliminary NAL 2026.zip' (Preliminary 2026 roll): parcels with JV_HMSTD > 0; sums of JV_HMSTD and AV_HMSTD | FDOR Data Book 2025: millage_taxes_levied.xlsx 'Total Millage Rate' (used for the 2026 estimate)",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Tax%20Roll%20Data%20Files/NAL/2026P/Bradford%2014%20Preliminary%20NAL%202026.zip | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2025DataBookFiles/millage_taxes_levied.xlsx,"2026 preliminary roll. Homestead parcels = NAL parcels with JV_HMSTD > 0. avg_soh_differential_per_homestead = (homestead_just_value_total minus homestead_assessed_value_total) / homestead_parcels, all from the NAL; the NAL differential (447,881,798) is -1.0% versus the Data Book soh_differential_total. avg_total_millage left blank: 2026 levies are not yet published by DOR. ESTIMATE: est_avg_annual_tax_saved = avg_soh_differential_per_homestead x 2025 DOR Total Millage Rate (16.5732) / 1000."
Brevard,2022,,,,22667812740,,14.5923,,"FDOR Property Tax Oversight, Data Book: county_overview.xlsx, sheet 'Save Our Homes Value History', column 2022 (latest revision, as carried in the 2026 Data Book) | FDOR Data Book 2022: millage_taxes_levied.xlsx, sheet 'Millage Rates', column 'Total Millage Rate'",https://floridarevenue.com/property/Documents/county_overview.xlsx | https://floridarevenue.com/property/dataportal/Documents/PTO%20Data%20Portal/Databook%20Historical%20Data/2022DataBookFiles/millage_taxes_levied.xlsx,"2022 final roll figures. Homestead parcel count and homestead just and assessed value totals are not published by DOR for this year at county level (the Data Book has no homestead breakout and DOR no longer hosts pre-2026 NAL roll files), so they, the per-homestead average and the tax estimate are left blank."
