county,nal_file,roll,homestead_parcels,median_soh_differential,p25_soh_differential,p75_soh_differential,p90_soh_differential,p99_soh_differential,max_soh_differential,share_with_zero_differential,parcels_differential_over_500k,share_over_500k,differential_above_500k_total,median_homestead_just_value,median_homestead_assessed_value
Alachua,Alachua 11 Preliminary NAL 2026.zip,Preliminary,54802,81562,31358,124631,173507,358711,1408603,0.1438,163,0.003,22196764,267126,181526
Baker,Baker 12 Preliminary NAL 2026.zip,Preliminary,6869,76630,38356,115227,158802,265299,738763,0.1087,2,0.0003,262954,227714,144964
Bay,Bay 13 Preliminary NAL 2026.zip,Preliminary,45901,34673,7034,78944,145123,410852,3206136,0.1823,276,0.006,95537667,254547,201526
Bradford,Bradford 14 Preliminary NAL 2026.zip,Preliminary,7071,54846,33662,81270,123208,252595,604974,0.0765,3,0.0004,245010,165836,109820
Brevard,Brevard 15 Preliminary NAL 2026.zip,Preliminary,182211,102180,19410,165750,233940,492134,3730320,0.2,1735,0.0095,456291500,295010,197470
Broward,Broward Preliminary NAL 2026.zip,Preliminary,419468,184130,64050,315210,444200,1253659,27008460,0.1162,30814,0.0735,12226393020,454050,246010
Calhoun,Calhoun 17 Preliminary NAL 2026.zip,Preliminary,3276,27438,7959,55880,89914,171405,359894,0.0855,0,0.0,0,110101,75430
Charlotte,Charlotte 18 Preliminary NAL 2026.zip,Preliminary,69832,46378,0,106618,159684,342023,7457627,0.3353,246,0.0035,121875495,268345,210203
Citrus,Citrus 19 Final NAL 2026.zip,Final,56159,74906,15916,115196,159967,313888,2545863,0.1929,117,0.0021,29077829,219057,146845
Clay,Clay 20 Preliminary NAL 2026.zip,Preliminary,60166,97626,30852,142903,191169,379463,2564613,0.1707,240,0.004,38092979,295396,199980
Collier,Collier 21 Preliminary NAL 2026.zip,Preliminary,108425,129142,19178,268848,543748,2377386,42312343,0.2175,11986,0.1105,9445924749,510968,360305
Columbia,Columbia 22 Preliminary NAL 2026.zip,Preliminary,16809,62967,29451,94327,129974,230534,638262,0.0857,5,0.0003,336655,195194,125837
DeSoto,DeSoto 24 Preliminary NAL 2026.zip,Preliminary,6415,86128,26258,137082,200247,370815,618146,0.1687,18,0.0028,798977,211724,122494
Dixie,Dixie 25 Preliminary NAL 2026.zip,Preliminary,4912,27910,10063,51424,77109,163340,486720,0.1427,0,0.0,0,96800,57499
Duval,Duval 26 Preliminary NAL 2026.zip,Preliminary,212984,91091,31325,140370,210423,662772,12510222,0.1575,3818,0.0179,1430027339,282208,193666
Escambia,Escambia 27 Preliminary NAL 2026.zip,Preliminary,76258,75536,23276,117157,171843,431427,4275120,0.1708,500,0.0066,129254852,241208,156122
Flagler,Flagler 28 Preliminary NAL 2026.zip,Preliminary,43657,73674,0,117824,174869,409950,2169221,0.2967,213,0.0049,46685722,289526,230486
Franklin,Franklin 29 Preliminary NAL 2026.zip,Preliminary,3471,76355,26566,161710,311742,821165,2513322,0.1513,140,0.0403,36143572,264875,150568
Gadsden,Gadsden 30 Preliminary NAL 2026.zip,Preliminary,10381,34291,11969,61370,90683,179085,2596638,0.1399,3,0.0003,2776835,135846,96235
Gilchrist,Gilchrist 31 Preliminary NAL 2026.zip,Preliminary,5668,57414,25871,93220,133214,243579,471962,0.1006,0,0.0,0,179446,113548
