county,year,portability_transfers,portability_value_total,avg_value_ported_per_transfer,source,source_url,note
Alachua,2022,954,49505341,51892,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Alachua,2023,978,72695582,74331,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Alachua,2024,881,87067339,98828,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Alachua,2025,918,99138526,107994,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Alachua,2026,797,84412329,105913,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,2026 preliminary roll. avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Baker,2022,188,8027438,42699,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Baker,2023,153,10059689,65750,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Baker,2024,152,10305776,67801,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Baker,2025,90,7834273,87047,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Baker,2026,87,7195576,82708,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,2026 preliminary roll. avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Bay,2022,723,25763863,35635,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Bay,2023,783,45186182,57709,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Bay,2024,865,68978068,79743,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Bay,2025,672,57211711,85136,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Bay,2026,656,53020449,80824,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,2026 preliminary roll. avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Bradford,2022,125,3807960,30464,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Bradford,2023,119,6073593,51039,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Bradford,2024,102,6591288,64620,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
Bradford,2025,93,6147785,66105,"FDOR Data Book 2026: amendment_1_impact.xlsx, sheets 'Portability Impact' and 'Portablity Counts'",https://floridarevenue.com/property/Documents/amendment_1_impact.xlsx,avg_value_ported_per_transfer = portability_value_total / portability_transfers (computed).
