county,year,status,soh_latest,soh_own_book,total_millage,countywide_millage,school_millage,aggregate_millage,millage_book
Alachua,2021,R-NVAB,2090986075,2088913118,21.3055,16.2948,6.843,5.0107,databook_2021
Baker,2021,R-Final,210790692,210790692,15.4222,14.175,5.812,1.2472,databook_2021
Bay,2021,R-NVAB,1148810914,1148081237,12.2765,10.3126,5.847,1.9639,databook_2021
Bradford,2021,R-Final,69527168,69527168,17.3463,15.913,5.913,1.4333,databook_2021
Brevard,2021,R-NVAB,12084433580,12084398090,15.6037,10.3516,5.85,5.2521,databook_2021
Broward,2021,R-NVAB,44861992890,44840087610,19.8427,12.8902,6.4620999999999995,6.9525,databook_2021
Calhoun,2021,R-Final,31188952,31188952,15.9442,15.7184,5.789,0.2258,databook_2021
Charlotte,2021,R-NVAB,3183421187,3181530831,16.9196,13.3901,6.85,3.5295,databook_2021
Citrus,2021,R-NVAB,2193831897,2193096807,14.9635,13.6754,5.817,1.2881,databook_2021
Clay,2021,R-NVAB,2594888711,2593931226,15.823,12.5666,6.775,3.2564,databook_2021
Collier,2021,R-NVAB,11943285556,11943397583,11.0528,8.9505,4.889,2.1023,databook_2021
Columbia,2021,R-Final,389728835,389728835,15.3836,14.0675,5.891,1.3161,databook_2021
Miami-Dade,2021,R-NVAB,52349149377,52290494032,19.1508,12.9726,7.0089999999999995,6.1782,databook_2021
DeSoto,2021,R-NVAB,268915297,268773941,17.688,14.5525,5.793,3.1355,databook_2021
Dixie,2021,R-Final,65408914,65408914,19.745,16.2375,5.876,3.5075,databook_2021
Duval,2021,R-NVAB,10657164148,10647330126,17.5383,6.0589,5.808,11.4794,databook_2021
Escambia,2021,R-NVAB,3376429076,3376554178,14.6476,12.8029,5.657,1.8447,databook_2021
Flagler,2021,R-NVAB,2054219537,2054219537,18.2096,14.6006,5.865,3.609,databook_2021
Franklin,2021,R-Final,169470095,169470095,12.0434,10.5541,5.054,1.4893,databook_2021
Gadsden,2021,R-Final,120199607,120199607,16.488,14.9034,5.874,1.5846,databook_2021
Gilchrist,2021,R-Final,125938586,125938586,16.8444,16.5239,5.8,0.3205,databook_2021
Glades,2021,R-NVAB,68172925,68172925,18.964,15.2244,5.867,3.7396,databook_2021
Gulf,2021,R-Final,195288428,195288428,14.4676,13.0374,6.208,1.4302,databook_2021
Hamilton,2021,R-Final,48460076,48460076,16.9539,16.3825,6.021,0.5714,databook_2021
Hardee,2021,R-NVAB,165749056,165735307,15.7713,14.9889,5.819,0.7824,databook_2021
Hendry,2021,R-NVAB,369799962,369796364,18.6366,17.3489,5.801,1.2877,databook_2021
Hernando,2021,R-NVAB,2924596968,2923181849,16.6959,15.391,6.777,1.3049,databook_2021
Highlands,2021,R-NVAB,948463146,950277852,15.7279,14.429,5.879,1.2989,databook_2021
Hillsborough,2021,R-NVAB,23530821096,23523238125,18.5998,12.4462,5.849,6.1536,databook_2021
Holmes,2021,R-Final,18540817,18540817,15.4428,15.371,5.85,0.0718,databook_2021
Indian River,2021,R-NVAB,3844198681,3841081887,14.5698,9.8155,6.268,4.7543,databook_2021
Jackson,2021,R-Final,126423122,126423122,13.6421,12.83,5.3556,0.8121,databook_2021
Jefferson,2021,R-Final,101845857,101845857,14.9462,13.815,5.865,1.1312,databook_2021
Lafayette,2021,R-Final,27574581,27574581,16.6465,16.0435,5.682,0.603,databook_2021
Lake,2021,R-NVAB,4208269301,4208220725,15.9701,12.0596,6.592,3.9105,databook_2021
Lee,2021,R-NVAB,12023373917,12023352650,15.2041,10.0499,5.891,5.1542,databook_2021
Leon,2021,R-NVAB,2271681847,2269466532,17.891,14.5948,5.876,3.2962,databook_2021
Levy,2021,R-Final,457566220,457566220,16.9559,14.875,5.875,2.0809,databook_2021
Liberty,2021,R-Final,27545088,27545088,15.6601,15.1221,5.768,0.538,databook_2021
Madison,2021,R-Final,70913165,70913165,17.293,16.2015,5.84,1.0915,databook_2021
Manatee,2021,R-NVAB,5712561043,5711940199,15.7442,13.7512,6.876,1.993,databook_2021
Marion,2021,R-NVAB,4181431671,4179602689,15.4691,9.823,5.403,5.6461,databook_2021
Martin,2021,R-NVAB,4242565097,4242545061,17.5932,13.7674,6.323,3.8258,databook_2021
Monroe,2021,R-NVAB,3059703899,3056670736,8.816,6.3637,3.284,2.4523,databook_2021
Nassau,2021,R-NVAB,1805986507,1805986507,16.6801,13.4547,5.88,3.2254,databook_2021
Okaloosa,2021,R-NVAB,2725092224,2725092224,12.8949,9.8032,5.943,3.0917,databook_2021
Okeechobee,2021,R-NVAB,374518938,374284398,15.3496,14.143,5.843,1.2066,databook_2021
Orange,2021,R-NVAB,17771453814,17748886205,16.6738,11.1717,6.737,5.5021,databook_2021
Osceola,2021,R-NVAB,3712868485,3711448072,15.2327,13.0596,5.897,2.1731,databook_2021
Palm Beach,2021,R-NVAB,38914610368,38873123829,18.7191,13.3285,6.875,5.3906,databook_2021
Pasco,2021,R-NVAB,7008017569,7008017569,16.1543,13.6711,5.81,2.4832,databook_2021
Pinellas,2021,R-NVAB,24484418361,24484491262,19.3862,12.7008,6.325,6.6854,databook_2021
Polk,2021,R-NVAB,7304909041,7302358162,16.1873,12.728,5.829,3.4593,databook_2021
Putnam,2021,R-NVAB,652609092,652543412,17.3064,15.0899,5.78,2.2165,databook_2021
Saint Johns,2021,R-NVAB,5534135747,5533065047,13.7203,11.577,5.812,2.1433,databook_2021
Saint Lucie,2021,R-NVAB,5697741304,5686586161,22.8542,17.963,6.853,4.8912,databook_2021
Santa Rosa,2021,R-NVAB,2255100509,2255100509,12.8061,12.0287,5.904,0.7774,databook_2021
Sarasota,2021,R-NVAB,9361830321,9359656727,13.4781,11.5,6.709,1.9781,databook_2021
Seminole,2021,R-NVAB,7136261728,7125475933,15.1809,10.919,5.825,4.2619,databook_2021
Sumter,2021,R-NVAB,2101048524,2099935404,12.2845,11.296,5.146,0.9885,databook_2021
Suwannee,2021,R-Final,128892925,128892925,16.4894,15.3435,5.982,1.1459,databook_2021
Taylor,2021,R-Final,130439152,130439152,15.8268,13.6841,6.08,2.1427,databook_2021
Union,2021,R-Final,5503410,5503410,17.2326,16.8145,5.953,0.4181,databook_2021
Volusia,2021,R-NVAB,10021137933,10017562620,19.2141,12.3515,5.802,6.8626,databook_2021
Wakulla,2021,R-Final,337462674,337462674,14.2187,14.1014,5.872,0.1173,databook_2021
Walton,2021,R-Final,1377108207,1377108207,9.7576,8.4497,4.784,1.3079,databook_2021
Washington,2021,R-Final,94686174,94686174,15.351,14.1254,5.596,1.2256,databook_2021
